noOfCharacters,noOfWords,noOfUniqueWords,sentCount,noOfCommas,noOfSemicolons,noOfQuestions,noOfExclamation,noOfSpellErrors,meanWorldLength,avgWordLength,avgSentenceLength,stdDeviationSentence,noOfNounCount,noOfVerbCount,noOfAdjCount,noOfAdvCount,keywordRelevance,score
1819,227,156,16,15,15,2,4,28,0,0.011627906976744186,21.5,13.47219358530748,81,48,24,10,15,8.0
2205,277,178,17,11,11,1,1,19,0,0.009685230024213076,24.294117647058822,13.26102074805242,97,66,23,15,14,9.0
1482,184,136,14,8,8,0,0,8,0,0.014492753623188406,19.714285714285715,13.976656924154295,65,40,24,10,15,7.0
2817,331,224,26,12,12,1,2,33,0,0.00816326530612245,18.846153846153847,10.900572700876804,135,61,39,17,13,10.0
2533,307,195,30,12,12,0,0,17,0,0.008528784648187633,15.633333333333333,6.665749936970501,104,66,27,15,18,8.0
1211,159,116,14,2,2,2,1,10,0,0.01680672268907563,17.0,10.460811222298748,49,31,16,11,3,8.0
2750,331,227,30,35,35,4,0,28,0,0.006,16.666666666666668,5.699902533279749,123,67,31,23,14,10.0
2642,324,204,38,9,9,3,1,19,0,0.004008016032064128,13.131578947368421,6.079175206484489,111,73,47,12,6,10.0
2366,299,218,35,16,16,6,1,22,0,0.008948545861297539,12.771428571428572,6.252248575104637,111,55,30,18,5,9.0
2575,327,210,26,14,14,2,0,25,0,0.00390625,19.692307692307693,10.159380775986264,99,76,35,22,16,9.0
1888,222,185,22,12,12,1,1,16,0,0.0125,14.545454545454545,6.69278629792944,84,48,28,14,9,8.0
2122,252,143,25,0,0,0,0,17,0,0.01020408163265306,15.68,5.917567067638523,94,55,29,16,10,8.0
1000,132,104,6,0,0,0,0,13,0,0.019704433497536946,33.833333333333336,11.71063144706078,40,27,16,7,4,7.0
1617,219,124,25,0,0,0,0,23,0,0.006514657980456026,12.28,3.789670170344644,83,44,36,9,10,6.0
983,117,93,13,6,6,0,0,10,0,0.022727272727272728,13.538461538461538,5.415297202091705,52,18,17,9,4,6.0
3057,369,248,34,19,19,1,0,33,0,0.0076481835564053535,15.382352941176471,7.292279180073839,165,72,36,11,13,12.0
1788,221,141,18,18,18,1,0,18,0,0.011594202898550725,19.166666666666668,7.433034373659254,71,52,22,11,10,8.0
1938,237,161,15,26,26,0,0,18,0,0.010810810810810811,24.666666666666668,13.660974424330874,70,55,23,26,8,8.0
362,53,46,7,0,0,0,0,31,0,0.015151515151515152,9.428571428571429,3.4166459266003995,25,9,7,0,0,4.0
832,108,79,11,2,2,0,2,9,0,0.025806451612903226,14.090909090909092,5.195357113538018,39,23,19,5,7,6.0
2021,245,172,20,14,14,1,0,23,0,0.01098901098901099,18.2,6.27375485654325,84,50,30,30,15,8.0
310,37,27,2,0,0,0,0,1,0,0.07272727272727272,27.5,1.5,18,8,2,0,3,3.0
2686,332,209,27,9,9,2,0,9,0,0.007874015748031496,18.814814814814813,10.320913816263726,117,71,31,13,10,10.0
3051,383,250,35,38,38,0,8,55,0,0.00718132854578097,15.914285714285715,7.549347856684344,119,81,57,21,19,11.0
1634,198,116,16,9,9,0,0,14,0,0.013745704467353952,18.1875,4.080728335726357,67,43,25,13,11,8.0
1875,235,163,21,20,20,2,8,31,0,0.005797101449275362,16.428571428571427,8.731832451392073,77,61,23,12,6,9.0
609,79,57,6,6,6,0,0,10,0,0.0782608695652174,19.166666666666668,6.718548123582125,29,16,8,5,3,4.0
2035,259,188,28,16,16,0,2,25,0,0.011049723756906077,12.928571428571429,8.421607292420793,88,60,35,13,6,9.0
1996,233,165,23,22,22,1,2,22,0,0.010869565217391304,16.0,8.597269536210952,86,53,30,10,8,9.0
1401,175,110,15,6,6,0,0,5,0,0.015267175572519083,17.466666666666665,5.4389541478323045,63,45,23,10,5,8.0
2486,327,225,28,28,28,3,2,36,0,0.0021321961620469083,16.75,9.37559521919999,108,69,41,28,17,10.0
2583,325,225,34,26,26,4,3,25,0,0.008385744234800839,14.029411764705882,6.065744191371386,115,71,37,23,14,10.0
862,111,91,11,4,4,0,0,7,0,0.024691358024691357,14.727272727272727,8.345830849111637,36,27,17,5,4,6.0
1838,243,162,26,14,14,0,1,14,0,0.010958904109589041,14.038461538461538,6.223286104690062,91,54,24,9,13,8.0
2256,283,167,33,21,21,3,1,25,0,0.009592326139088728,12.636363636363637,7.749166844045849,91,64,47,14,18,9.0
2738,336,226,18,24,24,4,3,21,0,0.007766990291262136,28.61111111111111,19.902928005946173,106,72,41,21,20,10.0
2570,339,241,29,23,23,2,2,36,0,0.008281573498964804,16.655172413793103,7.800423781896085,113,69,39,22,13,12.0
1861,233,155,17,7,7,0,0,11,0,0.011396011396011397,20.647058823529413,7.85112338511531,82,41,26,10,5,8.0
2351,305,199,22,6,6,0,1,14,0,0.009070294784580499,20.045454545454547,16.696426598437906,114,63,36,21,12,10.0
